trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.7,0.3,BA,1,,,,,0,1
2,0.7,0.3,BA,1,,,,,0,1
3,0.7,0.3,AB,1,right,0.485200166702,blue,5.09557199478,0,0
4,0.7,0.3,AB,1,left,0.544692993164,pink,5.19530200958,1,0
5,0.7,0.3,BB,1,right,0.336152076721,pink,1.73801803589,1,0
6,0.7,0.3,BB,1,right,0.297409057617,pink,1.43709993362,0,0
7,0.7,0.3,AB,1,left,0.256239891052,pink,3.1180639267,0,0
8,0.7,0.3,BB,1,right,0.608392953873,pink,2.54424500465,1,0
9,0.7,0.3,BB,1,right,0.36742401123,pink,2.68026280403,0,0
10,0.7,0.3,BB,0,right,0.369570970535,blue,2.68994998932,1,0
11,0.7,0.3,AA,1,right,0.365818023682,pink,1.90219402313,1,0
12,0.7,0.3,AB,0,left,0.398781776428,blue,1.43000793457,0,0
13,0.7,0.3,BB,1,right,0.585950136185,pink,4.48154997826,1,0
14,0.7,0.3,BB,1,right,0.479337930679,pink,0.763558864594,0,0
15,0.7,0.3,BA,1,left,0.369622945786,pink,0.930408000946,1,0
16,0.7,0.3,AA,1,right,0.429949045181,pink,1.42790102959,0,0
17,0.7,0.3,BB,1,right,0.365286827087,pink,1.53402996063,1,0
18,0.7,0.3,AA,1,right,0.479361772537,pink,0.995791912079,0,0
19,0.7,0.3,AA,1,left,0.432092905045,blue,1.06896615028,1,0
20,0.7,0.3,BA,1,right,0.496367931366,blue,1.12361192703,1,0
21,0.7,0.3,BA,0,right,0.341361045837,pink,1.47127008438,1,0
22,0.7,0.3,AB,1,left,0.354183912277,pink,2.53923511505,1,0
23,0.7,0.3,AB,1,left,0.514402866364,pink,1.02978897095,1,0
24,0.7,0.3,BB,1,right,0.485411882401,pink,0.665944099426,1,0
25,0.7,0.3,BA,1,left,0.711349964142,pink,0.65854716301,1,0
26,0.7,0.3,BA,1,left,0.690192937851,pink,0.926593065262,1,0
27,0.7,0.3,AB,0,left,0.36429810524,blue,0.924422979355,0,0
28,0.7,0.3,AB,1,left,0.614732980728,pink,0.726366996765,0,0
29,0.7,0.3,BA,1,left,0.650775909424,pink,0.760059833527,1,0
30,0.7,0.3,BA,1,left,0.384438991547,pink,0.512065172195,1,0
31,0.7,0.3,BB,0,right,0.376652956009,blue,0.921188831329,0,0
32,0.7,0.3,AA,1,right,0.437108039856,pink,0.498857975006,1,0
33,0.7,0.3,BB,1,right,0.568768978119,pink,0.416601896286,1,0
34,0.7,0.3,BA,1,left,0.420972108841,pink,0.539572954178,1,0
35,0.7,0.3,AB,0,left,0.46067905426,blue,0.777879953384,0,0
36,0.7,0.3,BB,1,right,0.839199066162,pink,0.397701025009,0,0
37,0.7,0.3,BA,1,right,0.400502920151,blue,0.90424489975,0,0
38,0.7,0.3,BA,1,left,0.376905918121,pink,0.449366092682,1,0
39,0.7,0.3,AA,1,right,0.576917886734,pink,0.346225976944,1,0
40,0.7,0.3,BB,1,right,0.370547771454,pink,0.363260030746,0,0
41,0.7,0.3,AA,1,right,0.730614900589,pink,0.396395921707,1,0
42,0.7,0.3,BB,1,right,1.44473409653,pink,0.37819480896,1,0
43,0.7,0.3,AA,1,right,0.634151935577,pink,0.303670167923,1,0
44,0.7,0.3,BA,1,left,0.458478927612,pink,0.392280101776,0,0
45,0.7,0.3,BB,0,right,0.400922060013,blue,0.335096120834,0,0
46,0.7,0.3,BB,1,right,0.389287948608,pink,0.341948986053,1,0
47,0.7,0.3,AB,1,left,0.38135099411,pink,0.388800859451,1,0
48,0.7,0.3,AB,1,left,0.417749881744,pink,0.360747098923,0,0
49,0.7,0.3,BA,1,left,0.395445108414,pink,0.363428115845,0,0
50,0.7,0.3,AA,1,left,0.405067920685,blue,0.331573009491,1,0
51,0.7,0.3,BB,1,left,0.348924875259,blue,0.310003995895,1,0
52,0.7,0.3,BB,1,left,0.402405023575,blue,0.31466794014,0,0
53,0.7,0.3,BA,1,left,1.02573108673,pink,0.968492031097,1,0
54,0.7,0.3,BA,1,right,1.37424087524,blue,0.622516155243,0,0
55,0.7,0.3,BB,1,right,0.427525997162,pink,0.418209075928,0,0
56,0.7,0.3,BA,0,right,0.418089151382,pink,0.504726886749,0,0
57,0.7,0.3,BA,1,right,0.523510932922,blue,0.367272138596,0,0
58,0.7,0.3,BA,1,right,0.856906175613,blue,0.382183074951,1,0
59,0.7,0.3,AB,1,left,0.557605981827,pink,0.390141010284,1,0
60,0.7,0.3,BB,1,right,1.01866698265,pink,0.328196048737,1,0
61,0.7,0.3,AB,1,left,0.433694124222,pink,0.296149969101,1,0
62,0.7,0.3,AB,1,left,0.411923885345,pink,0.241868972778,1,0
63,0.7,0.3,BB,1,right,0.572046995163,pink,0.284681081772,1,0
64,0.7,0.3,BA,1,left,0.482449054718,pink,0.278779983521,0,0
65,0.7,0.3,BB,1,right,0.656651973724,pink,0.277744054794,0,0
66,0.7,0.3,BB,0,left,0.413043022156,pink,0.275832891464,1,0
67,0.7,0.3,BB,1,left,0.349453926086,blue,0.214653015137,1,0
68,0.7,0.3,AB,0,left,0.398504972458,blue,0.237779855728,0,0
69,0.7,0.3,AB,1,left,0.384262084961,pink,0.200338840485,1,0
70,0.7,0.3,BB,1,right,0.383165121078,pink,0.222808122635,1,0
71,0.7,0.3,AB,1,right,1.02517199516,blue,1.2558119297,0,0
72,0.7,0.3,AB,1,right,0.495476961136,blue,0.220066070557,0,0
73,0.7,0.3,AA,1,right,0.328075885773,pink,0.323369979858,1,0
74,0.7,0.3,BA,1,left,0.532638072968,pink,0.302639007568,0,0
75,0.7,0.3,BB,1,right,0.501690864563,pink,0.280865907669,1,0
76,0.7,0.3,AA,1,right,0.448429822922,pink,0.229458808899,1,0
77,0.7,0.3,BB,1,right,0.366477012634,pink,0.0955059528351,1,0
78,0.7,0.3,AB,1,left,0.57630109787,pink,0.130404949188,0,0
79,0.7,0.3,AB,1,left,0.479852199554,pink,0.0599071979523,1,0
80,0.7,0.3,AB,1,left,0.506114959717,pink,0.0700240135193,1,0
81,0.7,0.3,AB,1,left,0.814889907837,pink,0.0950350761414,1,0
82,0.7,0.3,AB,1,left,1.08879613876,pink,0.0847899913788,1,0
83,0.7,0.3,AB,1,left,1.21342802048,pink,0.0607500076294,1,0
84,0.7,0.3,AB,1,left,1.76382493973,pink,0.0764570236206,1,0
85,0.7,0.3,BB,0,right,0.33952498436,blue,0.0943138599396,0,0
86,0.7,0.3,AB,1,left,0.565196990967,pink,0.0218460559845,1,0
87,0.7,0.3,BA,1,left,0.662237167358,pink,0.0439741611481,1,0
88,0.7,0.3,BB,1,right,0.676721096039,pink,0.121371030807,1,0
89,0.7,0.3,BA,1,left,1.10357785225,pink,0.0760290622711,1,0
90,0.7,0.3,AB,1,left,0.790203094482,pink,0.0631971359253,0,0
91,0.7,0.3,AB,0,left,0.818359136581,blue,0.0970571041107,0,0
92,0.7,0.3,BB,1,right,0.386902093887,pink,0.402557134628,0,0
93,0.7,0.3,BA,0,left,0.369915962219,blue,0.306006908417,1,0
94,0.7,0.3,AB,0,right,0.601933956146,pink,0.360363960266,0,0
95,0.7,0.3,AB,1,right,0.574447870255,blue,0.423454999924,0,0
96,0.7,0.3,BA,0,left,0.448493003845,blue,0.213823080063,0,0
97,0.7,0.3,AB,1,left,0.40455698967,pink,0.211534976959,1,0
98,0.7,0.3,BB,1,right,0.545064926147,pink,0.273790836334,1,0
99,0.7,0.3,AA,1,right,0.625594854355,pink,0.296194076538,1,0
100,0.7,0.3,AB,1,left,0.903673171997,pink,0.706784009933,1,0
101,0.7,0.3,AA,1,right,0.646590948105,pink,0.211660861969,1,0
102,0.7,0.3,AB,0,left,1.5893368721,blue,0.13213300705,0,0
103,0.7,0.3,AB,1,left,0.425356149673,pink,0.0805959701538,0,0
104,0.7,0.3,AA,1,left,0.890258073807,blue,0.0617311000824,1,0
105,0.7,0.3,AB,1,right,0.370193958282,blue,0.0991039276123,1,0
106,0.7,0.3,AA,1,left,0.440990924835,blue,0.0954430103302,0,0
107,0.7,0.3,BB,1,left,0.360828876495,blue,0.074257850647,1,0
108,0.7,0.3,BA,1,right,0.676564216614,blue,0.209855079651,0,0
109,0.7,0.3,BB,1,right,0.335282087326,pink,0.105253219604,0,0
110,0.7,0.3,BB,1,left,0.429497003555,blue,0.0679090023041,0,0
111,0.7,0.3,AA,1,left,0.373914003372,blue,0.0872650146484,1,0
112,0.7,0.3,BA,1,right,0.49112200737,blue,0.111736059189,1,0
113,0.7,0.3,BB,1,left,0.635668992996,blue,0.122159004211,1,0
114,0.7,0.3,AA,1,left,0.505398035049,blue,0.0854730606079,0,0
115,0.7,0.3,BA,1,left,0.870908021927,pink,0.0996119976044,0,0
116,0.7,0.3,BA,1,right,0.309297084808,blue,0.104434967041,0,0
117,0.7,0.3,AA,1,left,0.387595891953,blue,0.099503993988,0,0
118,0.7,0.3,AB,1,left,0.379046916962,pink,0.0911681652069,1,0
119,0.7,0.3,AB,1,left,0.408903121948,pink,0.0558478832245,1,0
120,0.7,0.3,BB,1,right,0.468152046204,pink,0.105285167694,1,0
121,0.7,0.3,BB,1,right,0.693289995193,pink,0.0342218875885,0,0
122,0.7,0.3,AB,1,left,0.484795093536,pink,0.0807750225067,1,0
123,0.7,0.3,AB,1,left,0.823536157608,pink,0.110489845276,0,0
124,0.7,0.3,AB,1,left,0.512786865234,pink,0.0592350959778,1,0
125,0.7,0.3,AB,1,right,0.510761022568,blue,0.0830230712891,1,0
126,0.7,0.3,BA,1,left,0.474931955338,pink,0.103755950928,1,0
127,0.7,0.3,BA,1,right,0.353195905685,blue,0.0826320648193,1,0
128,0.7,0.3,BB,1,right,0.376655817032,pink,0.0742080211639,1,0
129,0.7,0.3,BB,0,right,0.346085786819,blue,0.0506591796875,0,0
130,0.7,0.3,AA,1,right,0.383151054382,pink,0.111876964569,1,0
131,0.7,0.3,AA,1,right,0.485600948334,pink,0.0580539703369,0,0
132,0.7,0.3,BA,1,left,0.457200050354,pink,0.110504150391,1,0
133,0.7,0.3,AA,1,left,0.395934104919,blue,0.0105438232422,1,0
134,0.7,0.3,AA,1,left,0.992579936981,blue,0.136641025543,0,0
