trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.7,0.3,BA,0,right,1.13197207451,pink,2.10991597176,1,0
2,0.7,0.3,AA,0,left,0.367360115051,pink,1.59171700478,1,0
3,0.7,0.3,AA,0,left,0.373695135117,pink,1.42218184471,1,0
4,0.7,0.3,AA,1,left,0.444011926651,blue,2.45095419884,0,0
5,0.7,0.3,AA,1,right,0.633733987808,pink,0.958555936813,1,0
6,0.7,0.3,AB,1,left,0.651628017426,pink,1.24027514458,1,0
7,0.7,0.3,AB,1,left,0.645509958267,pink,1.05172610283,1,0
8,0.7,0.3,BB,1,right,0.399326086044,pink,0.791435003281,1,0
9,0.7,0.3,AB,1,left,0.551002025604,pink,1.175167799,1,0
10,0.7,0.3,AA,1,right,0.533892869949,pink,0.823678016663,1,0
11,0.7,0.3,AA,0,right,0.425618171692,blue,2.28076219559,0,0
12,0.7,0.3,AA,0,right,0.626152992249,blue,2.08203601837,0,0
13,0.7,0.3,BA,0,right,0.422125101089,pink,0.708817958832,0,0
14,0.7,0.3,AB,1,left,0.897256135941,pink,0.860633850098,1,0
15,0.7,0.3,AB,1,left,0.655233860016,pink,0.956605911255,1,0
16,0.7,0.3,AB,1,left,0.505128860474,pink,0.716227054596,0,0
17,0.7,0.3,AA,1,right,0.596687793732,pink,0.636528968811,1,0
18,0.7,0.3,BB,1,right,0.614167928696,pink,0.516173124313,1,0
19,0.7,0.3,AA,0,right,0.526313066483,blue,1.26575398445,0,0
20,0.7,0.3,BA,1,left,1.11738395691,pink,0.679850101471,0,0
21,0.7,0.3,BB,1,right,0.441148042679,pink,0.503062009811,1,0
22,0.7,0.3,BA,1,left,0.568428039551,pink,0.536942005157,1,0
23,0.7,0.3,AA,1,right,0.344749927521,pink,0.587669849396,0,0
24,0.7,0.3,AB,1,left,0.501354932785,pink,0.449223995209,1,0
25,0.7,0.3,BB,1,right,0.389369010925,pink,0.485954046249,1,0
26,0.7,0.3,AB,1,left,0.455055952072,pink,0.476454973221,0,0
27,0.7,0.3,BB,1,right,0.461348056793,pink,0.410595178604,1,0
