trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.7,0.3,AB,0,left,0.723958015442,blue,2.99800491333,0,0
2,0.7,0.3,AB,0,,,,,0,1
3,0.7,0.3,BA,1,right,0.62584400177,blue,2.90351581573,0,0
4,0.7,0.3,BA,1,left,0.295569896698,pink,1.68386602402,1,0
5,0.7,0.3,BB,1,right,0.238116979599,pink,1.42690706253,0,0
6,0.7,0.3,BA,1,left,0.352714061737,pink,1.60226106644,1,0
7,0.7,0.3,BB,1,right,0.414821147919,pink,1.01322579384,0,0
8,0.7,0.3,BA,1,left,0.194730043411,pink,0.954334020615,1,0
9,0.7,0.3,AA,1,right,0.242245912552,pink,1.0007610321,0,0
10,0.7,0.3,AB,0,left,0.295274019241,blue,1.58638906479,1,0
11,0.7,0.3,AA,1,left,0.352578878403,blue,1.05766987801,0,0
12,0.7,0.3,BA,1,right,0.102982997894,blue,2.33820819855,0,0
13,0.7,0.3,BA,0,left,0.577399015427,blue,3.83444190025,0,0
14,0.7,0.3,AB,1,left,0.476194143295,pink,0.95209813118,1,0
15,0.7,0.3,BA,0,left,0.345324039459,blue,1.35454201698,0,0
16,0.7,0.3,AB,0,right,0.266211986542,pink,1.87882900238,1,0
17,0.7,0.3,BA,1,right,0.296799182892,blue,1.41274619102,1,0
18,0.7,0.3,AA,1,right,0.361939907074,pink,0.874233007431,1,0
19,0.7,0.3,AB,1,right,0.269737005234,blue,0.76167011261,0,0
20,0.7,0.3,BA,1,left,0.233772993088,pink,0.752716779709,1,0
21,0.7,0.3,AB,1,left,0.560487985611,pink,1.12113809586,1,0
22,0.7,0.3,BB,0,right,0.235378980637,blue,1.04845118523,0,0
23,0.7,0.3,BA,1,left,0.628286123276,pink,0.873775005341,1,0
24,0.7,0.3,AB,1,left,0.0374779701233,pink,0.716519832611,1,0
25,0.7,0.3,BA,1,left,0.24545788765,pink,0.755075931549,1,0
26,0.7,0.3,AA,1,right,0.243695020676,pink,0.624571084976,1,0
27,0.7,0.3,AB,1,left,0.62297296524,pink,0.652714967728,1,0
28,0.7,0.3,AA,1,right,0.233391046524,pink,0.608121871948,0,0
29,0.7,0.3,BA,1,left,0.293660879135,pink,0.802026987076,1,0
30,0.7,0.3,AA,1,right,0.327878952026,pink,0.489508152008,1,0
31,0.7,0.3,AA,1,right,0.268968105316,pink,0.553203105927,1,0
32,0.7,0.3,AA,0,right,0.377912998199,blue,0.777489900589,0,0
33,0.7,0.3,BA,1,left,0.578426837921,pink,0.498224973679,1,0
34,0.7,0.3,AA,1,right,0.0853188037872,pink,0.585118055344,1,0
35,0.7,0.3,BB,1,right,0.247385978699,pink,0.596544981003,1,0
