trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.7,0.3,BA,0,left,0.502212047577,blue,2.0399210453,0,0
2,0.7,0.3,BB,0,right,0.267339944839,blue,1.41598415375,0,0
3,0.7,0.3,AA,0,right,0.318280935287,blue,2.45661187172,0,0
4,0.7,0.3,AA,0,left,0.282704114914,pink,0.870229959488,1,0
5,0.7,0.3,BA,0,right,0.457718849182,pink,0.679056882858,1,0
6,0.7,0.3,BA,1,right,0.218232870102,blue,0.961782932281,0,0
7,0.7,0.3,AB,1,left,0.22544002533,pink,0.448101997375,1,0
8,0.7,0.3,BA,1,left,0.252230167389,pink,0.449251890182,1,0
9,0.7,0.3,AA,1,right,0.293988227844,pink,0.458050966263,0,0
10,0.7,0.3,BB,0,left,0.310405015945,pink,0.594023942947,1,0
11,0.7,0.3,AB,0,right,0.872812986374,pink,0.580742835999,1,0
12,0.7,0.3,AA,0,right,0.380070924759,blue,0.555613994598,0,0
13,0.7,0.3,BA,1,left,0.364367008209,pink,0.460469007492,1,0
14,0.7,0.3,AB,1,left,0.561318159103,pink,0.418519973755,1,0
15,0.7,0.3,BA,1,left,0.351387023926,pink,0.288894891739,0,0
16,0.7,0.3,BB,1,right,0.28421998024,pink,0.367820978165,0,0
17,0.7,0.3,AA,1,left,0.33601808548,blue,0.32157087326,0,0
18,0.7,0.3,AB,1,right,0.499706029892,blue,0.327670097351,1,0
19,0.7,0.3,AA,1,left,0.297910928726,blue,0.325020074844,0,0
20,0.7,0.3,BB,0,right,0.334012031555,blue,0.407904863358,0,0
21,0.7,0.3,BB,1,right,0.318556070328,pink,0.440984964371,1,0
22,0.7,0.3,BB,1,right,0.414289951324,pink,0.357601165771,1,0
23,0.7,0.3,BA,1,left,0.397912025452,pink,0.564289093018,1,0
24,0.7,0.3,AA,1,right,0.468461990356,pink,0.40856719017,0,0
25,0.7,0.3,BA,1,left,0.279398918152,pink,0.275109052658,1,0
26,0.7,0.3,BB,1,right,0.368400096893,pink,0.280688047409,1,0
27,0.7,0.3,AB,0,right,0.363102912903,pink,0.379575967789,1,0
