trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.3,0.7,BB,0,right,0.771190166473,blue,1.30699920654,1,0
2,0.3,0.7,AA,1,right,0.623336076736,pink,1.00432682037,0,0
3,0.3,0.7,BB,0,left,1.49173998833,pink,0.846799135208,1,0
4,0.3,0.7,AB,1,,,,,0,1
5,0.3,0.7,BB,0,left,0.643595933914,pink,1.41788601875,0,0
6,0.3,0.7,BA,0,right,0.423593044281,pink,0.445852994919,0,0
7,0.3,0.7,BB,1,left,0.388226985931,blue,0.307924985886,1,0
8,0.3,0.7,BA,1,right,0.392957925797,blue,0.655714035034,1,0
9,0.3,0.7,AA,1,left,0.42138004303,blue,0.563784122467,0,0
10,0.3,0.7,AB,1,right,0.0459702014923,blue,1.05943608284,0,0
11,0.3,0.7,BA,1,right,0.408483028412,blue,0.487503051758,1,0
12,0.3,0.7,BB,1,right,0.404161930084,pink,0.507613182068,0,0
13,0.3,0.7,AB,0,left,0.406616926193,blue,0.485636949539,1,0
14,0.3,0.7,BA,1,right,0.394248962402,blue,0.442052125931,0,0
15,0.3,0.7,AA,0,left,0.289625167847,pink,0.40434718132,0,0
16,0.3,0.7,BA,1,right,0.316509962082,blue,0.334717988968,0,0
17,0.3,0.7,AB,0,right,0.26570391655,pink,0.406156778336,0,0
18,0.3,0.7,AA,0,left,0.351384162903,pink,0.392469882965,0,0
19,0.3,0.7,BA,0,right,0.353142023087,pink,0.250074863434,0,0
20,0.3,0.7,BA,1,left,0.335108041763,pink,0.265417098999,0,0
21,0.3,0.7,BA,0,left,0.311564922333,blue,0.290100097656,0,0
22,0.3,0.7,BA,1,left,0.238245010376,pink,0.268126010895,0,0
23,0.3,0.7,AB,1,left,0.242742061615,pink,0.263956069946,1,0
24,0.3,0.7,BA,0,right,0.286406993866,pink,1.16090488434,0,0
25,0.3,0.7,AB,1,left,0.195297002792,pink,0.354315042496,1,0
26,0.3,0.7,AB,1,left,0.116194009781,pink,0.392026901245,0,0
27,0.3,0.7,AB,1,right,0.255450963974,blue,0.19683599472,0,0
28,0.3,0.7,BB,1,right,0.253085851669,pink,0.338248968124,0,0
29,0.3,0.7,AA,1,left,0.324995040894,blue,0.207793951035,0,0
30,0.3,0.7,BB,1,right,0.22481918335,pink,0.230505943298,1,0
31,0.3,0.7,BB,1,right,0.268847942352,pink,0.393809080124,0,0
32,0.3,0.7,AB,1,right,0.218209028244,blue,0.313177108765,1,0
33,0.3,0.7,AA,1,right,0.277316808701,pink,0.161108970642,0,0
34,0.3,0.7,AA,1,left,0.171138048172,blue,0.259849786758,1,0
35,0.3,0.7,BB,1,left,0.130690813065,blue,0.315969944,1,0
36,0.3,0.7,BB,1,left,0.207020998001,blue,0.190210103989,1,0
37,0.3,0.7,BB,1,left,0.239165782928,blue,0.204895019531,1,0
38,0.3,0.7,BB,0,left,0.269070863724,pink,0.217535972595,0,0
39,0.3,0.7,BA,1,right,0.225663900375,blue,0.239814043045,0,0
40,0.3,0.7,BB,1,left,0.23862695694,blue,0.132294178009,1,0
41,0.3,0.7,AA,0,left,0.247479915619,pink,0.276401042938,1,0
42,0.3,0.7,BB,1,left,0.266195058823,blue,0.143814086914,0,0
43,0.3,0.7,AA,1,left,0.266346931458,blue,0.246908903122,1,0
44,0.3,0.7,BA,0,right,0.100191116333,pink,0.512439012527,1,0
