trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.3,0.7,AB,1,,,,,0,1
2,0.3,0.7,BA,0,left,1.78076291084,blue,1.74702119827,1,0
3,0.3,0.7,BB,0,right,0.932667016983,blue,1.3580391407,1,0
4,0.3,0.7,BA,0,right,0.52667093277,pink,1.88102412224,0,0
5,0.3,0.7,AA,1,left,0.508657932281,blue,2.33571600914,1,0
6,0.3,0.7,AA,1,left,1.68070793152,blue,1.41129112244,1,0
7,0.3,0.7,AA,1,left,0.538719892502,blue,1.14829301834,1,0
8,0.3,0.7,AB,1,right,0.565586090088,blue,3.12572097778,1,0
9,0.3,0.7,BB,0,left,0.543905973434,pink,1.48903512955,1,0
10,0.3,0.7,BB,1,left,0.493567943573,blue,0.968918085098,0,0
11,0.3,0.7,AA,1,right,0.521111011505,pink,1.55635404587,0,0
12,0.3,0.7,BB,1,left,0.676575899124,blue,1.63299703598,0,0
13,0.3,0.7,AB,1,left,0.414524078369,pink,1.16456079483,1,0
14,0.3,0.7,BB,1,right,0.405459165573,pink,1.07660007477,0,0
15,0.3,0.7,BB,1,left,0.153470039368,blue,0.947256088257,1,0
16,0.3,0.7,AB,1,left,0.413299798965,pink,0.754901170731,1,0
17,0.3,0.7,BB,1,left,0.405453205109,blue,0.675314188004,1,0
18,0.3,0.7,AA,1,left,0.368496894836,blue,0.632728099823,1,0
19,0.3,0.7,AB,0,right,0.912546157837,pink,0.769734144211,0,0
20,0.3,0.7,AB,1,left,0.418622016907,pink,0.705638885498,1,0
21,0.3,0.7,BB,1,left,0.453725099564,blue,0.562713861465,0,0
22,0.3,0.7,BB,1,left,0.395045042038,blue,0.585789203644,0,0
23,0.3,0.7,AB,0,right,0.858710050583,pink,0.647695064545,1,0
24,0.3,0.7,BB,0,right,0.405107021332,blue,0.676575899124,1,0
25,0.3,0.7,BB,1,right,0.409265995026,pink,0.77695608139,0,0
26,0.3,0.7,BB,0,right,0.402435064316,blue,0.520470142365,1,0
27,0.3,0.7,BB,1,right,0.396910905838,pink,0.642587900162,1,0
28,0.3,0.7,AB,0,right,0.506510972977,pink,0.644391059875,0,0
29,0.3,0.7,AB,0,left,0.106935024261,blue,0.750022888184,1,0
30,0.3,0.7,AB,1,left,0.375869035721,pink,0.640851020813,0,0
31,0.3,0.7,AB,1,left,0.422823905945,pink,0.605119943619,0,0
32,0.3,0.7,BA,1,right,0.364973068237,blue,0.517358779907,1,0
33,0.3,0.7,AA,1,left,0.425891876221,blue,0.66379404068,1,0
34,0.3,0.7,BA,1,right,0.364676952362,blue,0.54094004631,1,0
35,0.3,0.7,BA,1,right,0.407447814941,blue,0.574759960175,0,0
36,0.3,0.7,AB,1,left,0.551658153534,pink,0.568320035934,0,0
37,0.3,0.7,BB,1,right,0.458801031113,pink,0.606907129288,1,0
38,0.3,0.7,BA,1,left,0.407743930817,pink,0.701658010483,1,0
39,0.3,0.7,BB,1,right,0.433565139771,pink,0.74320101738,1,0
40,0.3,0.7,BB,1,right,0.394711017609,pink,0.618281126022,0,0
41,0.3,0.7,AA,1,left,0.856599092484,blue,0.6774559021,1,0
42,0.3,0.7,BB,0,left,0.387644052505,pink,0.555070161819,0,0
43,0.3,0.7,BA,0,right,0.436054944992,pink,0.721677064896,0,0
44,0.3,0.7,AB,1,left,0.484863996506,pink,0.569545030594,0,0
45,0.3,0.7,BB,1,right,0.473764181137,pink,0.598121881485,1,0
46,0.3,0.7,BB,1,left,0.390101194382,blue,0.518682956696,1,0
47,0.3,0.7,BA,1,right,0.545181035995,blue,0.593750953674,1,0
48,0.3,0.7,AA,1,left,0.442429065704,blue,0.512048006058,1,0
49,0.3,0.7,AA,1,left,0.468503952026,blue,0.552850008011,1,0
50,0.3,0.7,BA,1,right,0.51482796669,blue,0.579825878143,1,0
51,0.3,0.7,AB,0,right,0.372678041458,pink,0.580919981003,0,0
52,0.3,0.7,AB,1,left,1.1540210247,pink,0.801445960999,0,0
53,0.3,0.7,AA,1,left,0.473018169403,blue,0.549624919891,0,0
54,0.3,0.7,BA,1,right,0.464641809464,blue,0.844952821732,1,0
55,0.3,0.7,BA,1,right,0.490036964417,blue,0.509691953659,1,0
56,0.3,0.7,BA,0,right,0.425616979599,pink,0.681231021881,0,0
57,0.3,0.7,BB,1,left,0.517554998398,blue,0.478734016418,1,0
58,0.3,0.7,AA,1,left,0.500605821609,blue,0.479622840881,1,0
59,0.3,0.7,BB,1,left,0.516267061234,blue,0.502293109894,1,0
60,0.3,0.7,BA,1,right,0.466356992722,blue,0.421578884125,0,0
61,0.3,0.7,AB,1,left,0.718050956726,pink,0.462985038757,0,0
62,0.3,0.7,BB,0,left,0.437527894974,pink,0.386821985245,0,0
63,0.3,0.7,BA,1,left,0.395481109619,pink,0.417806148529,1,0
64,0.3,0.7,BA,1,left,0.585322141647,pink,0.472812891006,0,0
65,0.3,0.7,AA,1,left,0.494200944901,blue,0.442349910736,0,0
66,0.3,0.7,BB,1,right,0.457625150681,pink,0.533609867096,0,0
67,0.3,0.7,AB,1,right,0.352173089981,blue,0.409066915512,1,0
68,0.3,0.7,BB,0,right,0.409181118011,blue,0.649260044098,1,0
69,0.3,0.7,AB,0,right,1.21411299706,pink,0.563752889633,1,0
70,0.3,0.7,AA,0,right,0.381219863892,blue,0.564685821533,1,0
71,0.3,0.7,BA,1,right,0.478736162186,blue,0.425630092621,0,0
