trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.7,0.3,BB,1,left,0.0129339694977,blue,5.50704622269,1,0
2,0.7,0.3,BB,0,left,0.00228905677795,pink,2.10559892654,0,0
3,0.7,0.3,AA,1,left,1.14523220062,blue,1.60278296471,0,0
4,0.7,0.3,AA,1,right,0.695161104202,pink,1.20217013359,0,0
5,0.7,0.3,AB,1,right,0.480414152145,blue,2.73194408417,0,0
6,0.7,0.3,BB,1,left,0.852532863617,blue,2.35189509392,0,0
7,0.7,0.3,AB,1,left,0.872136831284,pink,2.33226585388,1,0
8,0.7,0.3,BA,1,left,0.146927118301,pink,0.812261104584,1,0
9,0.7,0.3,BA,1,left,0.346791028976,pink,0.546884059906,1,0
10,0.7,0.3,AB,1,left,0.179785013199,pink,0.699355125427,1,0
11,0.7,0.3,BB,1,right,0.102996826172,pink,0.658257961273,0,0
12,0.7,0.3,AB,0,left,0.462025880814,blue,0.521916151047,1,0
13,0.7,0.3,AB,1,left,0.203923940659,pink,0.763292074203,0,0
14,0.7,0.3,BB,1,right,0.330886125565,pink,0.468484163284,1,0
15,0.7,0.3,AB,1,left,0.0166399478912,pink,0.607205152512,1,0
16,0.7,0.3,AB,1,left,0.374325990677,pink,0.495169878006,1,0
17,0.7,0.3,AB,1,left,0.41867184639,pink,0.616036891937,1,0
18,0.7,0.3,BB,1,right,0.165824174881,pink,0.646214008331,0,0
19,0.7,0.3,BA,1,left,0.322784900665,pink,0.565523147583,1,0
20,0.7,0.3,AA,1,right,0.0782849788666,pink,0.554054021835,0,0
21,0.7,0.3,AA,1,right,0.0264010429382,pink,0.48099899292,1,0
22,0.7,0.3,BA,1,left,0.116387844086,pink,0.470826148987,0,0
23,0.7,0.3,BB,1,right,0.0429890155792,pink,0.440900087357,1,0
24,0.7,0.3,AB,1,left,0.0462779998779,pink,0.435436964035,1,0
25,0.7,0.3,AA,1,right,0.281110048294,pink,0.428662061691,0,0
26,0.7,0.3,AA,0,right,0.258054971695,blue,0.535897016525,0,0
27,0.7,0.3,BB,1,right,0.209537982941,pink,0.400059938431,0,0
28,0.7,0.3,BB,0,right,0.0784800052643,blue,0.522333145142,1,0
29,0.7,0.3,AB,1,left,0.412829875946,pink,0.426578998566,0,0
30,0.7,0.3,BA,1,left,0.217567205429,pink,0.416182994843,1,0
31,0.7,0.3,AA,1,right,0.197198152542,pink,0.460345983505,0,0
32,0.7,0.3,BB,1,right,0.178124904633,pink,0.490345954895,1,0
33,0.7,0.3,BB,1,right,0.365900039673,pink,0.398100137711,1,0
34,0.7,0.3,BA,1,left,0.221148967743,pink,0.451657056808,1,0
35,0.7,0.3,AA,0,right,0.335151910782,blue,0.416828870773,1,0
36,0.7,0.3,AA,1,right,0.16691493988,pink,0.455348014832,1,0
37,0.7,0.3,AB,1,left,0.397239923477,pink,0.4282310009,1,0
38,0.7,0.3,AA,0,right,0.25763297081,blue,0.502936840057,0,0
39,0.7,0.3,AB,1,left,0.2409760952,pink,0.39168381691,1,0
40,0.7,0.3,AA,1,right,0.166105031967,pink,0.486747026443,1,0
41,0.7,0.3,BB,0,left,0.0671498775482,pink,0.463757038116,0,0
42,0.7,0.3,BA,0,left,0.291893005371,blue,0.486897945404,1,0
43,0.7,0.3,AB,0,left,0.24192905426,blue,0.408054828644,0,0
44,0.7,0.3,AA,1,right,0.311333179474,pink,0.426153898239,0,0
45,0.7,0.3,AA,1,right,0.0313849449158,pink,0.46230006218,0,0
46,0.7,0.3,BB,1,right,0.39438700676,pink,0.377346992493,1,0
47,0.7,0.3,AB,0,left,0.098326921463,blue,0.413421869278,0,0
48,0.7,0.3,BA,1,left,0.322454929352,pink,0.436834096909,1,0
49,0.7,0.3,AA,1,right,0.250402927399,pink,0.375319957733,1,0
50,0.7,0.3,BA,1,left,0.167454004288,pink,0.48801612854,1,0
51,0.7,0.3,BB,0,right,0.0445339679718,blue,0.506018877029,0,0
52,0.7,0.3,BB,0,right,0.364099025726,blue,0.668729782104,0,0
53,0.7,0.3,BA,1,left,0.312179088593,pink,0.507779836655,1,0
54,0.7,0.3,BA,1,left,0.221343040466,pink,0.524029016495,1,0
55,0.7,0.3,AA,1,right,0.0537810325623,pink,0.475134849548,1,0
56,0.7,0.3,AA,0,right,0.224107980728,blue,0.853531837463,0,0
57,0.7,0.3,AB,0,left,0.106137990952,blue,0.549506902695,0,0
58,0.7,0.3,AB,1,left,0.0535371303558,pink,0.499078035355,1,0
59,0.7,0.3,BB,0,left,0.061821937561,pink,0.45037984848,1,0
60,0.7,0.3,BB,0,right,0.406803846359,blue,0.52597284317,0,0
61,0.7,0.3,BA,1,right,0.192081928253,blue,0.463791847229,1,0
62,0.7,0.3,BA,1,right,0.211972951889,blue,0.450423955917,0,0
63,0.7,0.3,AB,0,left,0.112337112427,blue,0.426505088806,1,0
64,0.7,0.3,BA,1,right,0.151773929596,blue,0.41005897522,1,0
65,0.7,0.3,AA,1,left,0.0636739730835,blue,0.428342103958,1,0
66,0.7,0.3,AA,0,left,0.178690910339,pink,0.457868099213,0,0
67,0.7,0.3,BB,0,right,0.118060112,blue,0.43360877037,1,0
68,0.7,0.3,BB,1,left,0.0220820903778,blue,0.44464302063,1,0
69,0.7,0.3,AA,1,left,0.138417959213,blue,0.42763209343,0,0
70,0.7,0.3,BB,0,left,0.0653710365295,pink,0.670039892197,1,0
71,0.7,0.3,BA,1,left,0.0898330211639,pink,0.453581094742,1,0
72,0.7,0.3,AB,1,right,0.250385046005,blue,0.44749879837,0,0
73,0.7,0.3,BB,1,left,0.0293231010437,blue,0.459331989288,1,0
74,0.7,0.3,AA,1,left,0.111949205399,blue,0.434393882751,1,0
75,0.7,0.3,AB,1,right,0.00737810134888,blue,0.591011047363,0,0
76,0.7,0.3,BA,0,right,0.566497087479,pink,0.590626955032,1,0
77,0.7,0.3,AA,1,left,0.134196996689,blue,0.391695022583,0,0
78,0.7,0.3,AB,1,right,0.0789370536804,blue,0.370789051056,1,0
79,0.7,0.3,BB,1,right,1.8670501709,pink,2.00608801842,1,0
80,0.7,0.3,AB,1,left,0.196512937546,pink,0.690574884415,1,0
81,0.7,0.3,BB,1,right,0.141705036163,pink,0.4400639534,1,0
82,0.7,0.3,BB,1,right,0.430042028427,pink,0.546993017197,0,0
83,0.7,0.3,AB,1,left,0.204347133636,pink,0.483381986618,0,0
84,0.7,0.3,AA,1,left,0.118833780289,blue,0.528841972351,1,0
85,0.7,0.3,BA,0,right,0.185662984848,pink,0.474432945251,1,0
86,0.7,0.3,AB,1,left,0.221524000168,pink,0.43603515625,1,0
87,0.7,0.3,AB,1,left,0.0972940921783,pink,0.436495065689,1,0
88,0.7,0.3,AA,1,right,0.235157966614,pink,0.400803089142,0,0
89,0.7,0.3,AA,1,right,0.238580942154,pink,0.436406135559,1,0
90,0.7,0.3,AA,0,right,0.201663970947,blue,0.512912034988,1,0
91,0.7,0.3,BA,0,left,0.219959974289,blue,0.433169841766,0,0
92,0.7,0.3,AB,1,left,0.383439779282,pink,0.471355199814,1,0
93,0.7,0.3,AB,1,right,0.635493040085,blue,0.961012840271,0,0
94,0.7,0.3,BB,1,right,0.368197917938,pink,0.400461912155,1,0
95,0.7,0.3,BA,1,left,0.279222011566,pink,0.386970996857,0,0
96,0.7,0.3,AB,1,right,0.243610858917,blue,0.472959041595,0,0
97,0.7,0.3,BB,1,right,0.236663103104,pink,0.401961088181,1,0
98,0.7,0.3,AA,1,right,0.209516048431,pink,0.344137907028,1,0
99,0.7,0.3,AA,0,right,0.26535987854,blue,0.66178393364,1,0
100,0.7,0.3,BB,1,right,0.0898149013519,pink,0.469614982605,0,0
101,0.7,0.3,BA,0,left,0.211276054382,blue,0.417767047882,0,0
102,0.7,0.3,BB,1,right,0.528926849365,pink,0.394433021545,0,0
103,0.7,0.3,AB,0,right,0.192889213562,pink,0.441066026688,1,0
104,0.7,0.3,BA,0,right,0.190200090408,pink,0.437876939774,0,0
105,0.7,0.3,AB,1,left,0.0683789253235,pink,0.393083095551,1,0
106,0.7,0.3,BA,1,left,0.239269971848,pink,0.469122171402,0,0
107,0.7,0.3,AA,0,right,0.233104944229,blue,0.399011135101,1,0
108,0.7,0.3,BB,0,right,0.430773019791,blue,0.443094015121,0,0
109,0.7,0.3,BA,1,right,0.240628957748,blue,0.406912088394,0,0
110,0.7,0.3,AA,1,right,0.166226148605,pink,0.446763038635,1,0
111,0.7,0.3,BA,1,right,0.0663650035858,blue,0.446945905685,0,0
112,0.7,0.3,BB,0,right,0.0997059345245,blue,0.471117973328,1,0
113,0.7,0.3,BA,1,left,0.3722012043,pink,0.404336929321,1,0
114,0.7,0.3,BA,0,left,0.179165124893,blue,0.402975082397,0,0
115,0.7,0.3,AB,0,left,0.217842102051,blue,0.416239976883,1,0
116,0.7,0.3,AA,0,left,0.206298112869,pink,0.356367111206,1,0
117,0.7,0.3,BB,1,right,0.461928129196,pink,0.337949037552,1,0
118,0.7,0.3,AA,1,right,0.194839000702,pink,0.385721206665,1,0
119,0.7,0.3,BA,1,right,0.305848836899,blue,0.437563896179,1,0
120,0.7,0.3,AA,1,left,0.211072921753,blue,0.369735956192,0,0
121,0.7,0.3,BA,1,left,0.129112005234,pink,0.379192113876,1,0
122,0.7,0.3,BA,1,left,0.227581977844,pink,0.506135940552,1,0
123,0.7,0.3,BB,1,left,0.219207048416,blue,0.370195865631,0,0
124,0.7,0.3,BA,1,right,0.210129976273,blue,0.362081050873,1,0
125,0.7,0.3,AA,1,right,0.322504997253,pink,0.420845985413,1,0
126,0.7,0.3,AB,1,right,0.185717821121,blue,0.378140926361,0,0
127,0.7,0.3,BB,1,right,0.666917800903,pink,0.446944952011,1,0
128,0.7,0.3,BB,1,right,0.0346350669861,pink,0.360537052155,1,0
129,0.7,0.3,AB,0,left,0.297454118729,blue,0.372403860092,0,0
130,0.7,0.3,AB,0,left,0.197633981705,blue,0.380683898926,0,0
131,0.7,0.3,BB,1,right,0.0111229419708,pink,0.457643032074,1,0
132,0.7,0.3,AB,0,left,0.0063750743866,blue,0.405803203583,0,0
133,0.7,0.3,BB,1,left,0.108585119247,blue,0.392848014832,0,0
134,0.7,0.3,BA,1,left,0.479170084,pink,0.442671060562,1,0
135,0.7,0.3,BA,1,left,0.0401549339294,pink,0.894776105881,1,0
136,0.7,0.3,AA,0,right,0.266169071198,blue,2.28546094894,0,0
137,0.7,0.3,BA,0,left,0.0324919223785,blue,0.502388000488,0,0
138,0.7,0.3,AA,1,right,0.232033014297,pink,0.429738044739,1,0
139,0.7,0.3,AA,1,right,0.195259094238,pink,0.37074303627,1,0
140,0.7,0.3,BA,1,left,0.00259304046631,pink,0.369714975357,1,0
141,0.7,0.3,AB,1,left,0.00185298919678,pink,0.378149032593,1,0
142,0.7,0.3,AB,1,right,0.0172460079193,blue,0.480028867722,0,0
143,0.7,0.3,AA,1,left,0.0835280418396,blue,0.367407798767,0,0
144,0.7,0.3,AA,1,right,0.0563449859619,pink,0.388861179352,1,0
145,0.7,0.3,AA,1,right,0.109075069427,pink,0.399766921997,0,0
146,0.7,0.3,BA,1,left,0.158092021942,pink,0.367711782455,1,0
147,0.7,0.3,AB,0,left,0.296453952789,blue,0.530265808105,0,0
148,0.7,0.3,AA,1,right,0.179761886597,pink,0.54734992981,1,0
149,0.7,0.3,BB,1,right,0.221184968948,pink,0.347645998001,0,0
150,0.7,0.3,AA,1,right,0.316141843796,pink,0.318673849106,1,0
151,0.7,0.3,BB,0,right,0.240823984146,blue,0.397670984268,1,0
152,0.7,0.3,BA,1,right,0.11737704277,blue,0.383963108063,0,0
153,0.7,0.3,AA,1,left,0.0873219966888,blue,0.370245933533,0,0
