trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.3,0.7,AA,0,right,0.781685113907,blue,4.37403607368,1,0
2,0.3,0.7,AA,1,left,0.404238939285,blue,4.44501113892,1,0
3,0.3,0.7,AA,1,right,1.52315616608,pink,4.43563008308,0,0
4,0.3,0.7,BA,0,right,1.51839709282,pink,5.05394101143,0,0
5,0.3,0.7,BA,1,left,0.713630199432,pink,4.47835302353,0,0
6,0.3,0.7,BA,1,right,0.290448904037,blue,5.4964799881,1,0
7,0.3,0.7,BA,1,left,0.523482084274,pink,1.91034603119,1,0
8,0.3,0.7,BA,1,left,0.343478918076,pink,0.634238958359,0,0
9,0.3,0.7,BB,0,left,1.07772088051,pink,5.49670600891,1,0
10,0.3,0.7,AB,1,right,0.376480102539,blue,3.79585909843,1,0
11,0.3,0.7,BA,0,left,0.393882989883,blue,0.906494855881,1,0
12,0.3,0.7,AA,1,left,0.417545080185,blue,0.673006057739,0,0
13,0.3,0.7,BA,1,left,0.745434999466,pink,0.561866998672,0,0
14,0.3,0.7,BA,1,left,0.370742797852,pink,0.4436378479,0,0
15,0.3,0.7,BA,1,right,0.19150018692,blue,0.671066045761,0,0
16,0.3,0.7,BB,1,right,0.233586072922,pink,0.567229986191,0,0
17,0.3,0.7,AB,1,right,0.254781961441,blue,0.62732219696,1,0
18,0.3,0.7,AA,0,left,0.320212125778,pink,0.625962972641,0,0
19,0.3,0.7,BA,1,right,0.437309980392,blue,0.466867923737,1,0
20,0.3,0.7,BA,0,right,0.287737131119,pink,0.698818922043,0,0
21,0.3,0.7,AB,1,left,0.722311973572,pink,0.644316911697,0,0
22,0.3,0.7,AA,1,right,0.411823987961,pink,0.307219028473,0,0
23,0.3,0.7,AA,1,right,0.450366973877,pink,0.343724966049,0,0
24,0.3,0.7,BA,0,left,0.291431188583,blue,0.494765996933,1,0
25,0.3,0.7,AA,1,right,0.383275985718,pink,0.327147960663,0,0
26,0.3,0.7,BB,1,left,0.812884092331,blue,0.82740688324,0,0
27,0.3,0.7,BA,1,right,1.14655709267,blue,1.12390995026,1,0
28,0.3,0.7,BB,1,right,0.409852027893,pink,0.320470094681,0,0
