trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.3,0.7,BB,1,left,0.109773874283,blue,1.76167106628,1,0
2,0.3,0.7,BA,1,right,0.56011390686,blue,1.17708802223,0,0
3,0.3,0.7,AB,1,left,0.401025056839,pink,0.568247079849,0,0
4,0.3,0.7,BA,1,right,0.343219995499,blue,0.488672018051,1,0
5,0.3,0.7,AA,1,left,0.300180196762,blue,0.359851121902,1,0
6,0.3,0.7,BB,1,left,0.288518190384,blue,0.236443042755,1,0
7,0.3,0.7,BB,1,left,0.362117767334,blue,0.234524011612,0,0
8,0.3,0.7,BB,1,right,0.38303899765,pink,0.238749980927,0,0
9,0.3,0.7,AB,1,right,0.13313794136,blue,0.279005050659,0,0
10,0.3,0.7,BB,1,left,0.186566829681,blue,0.218775987625,0,0
11,0.3,0.7,BB,1,right,0.231539011002,pink,0.165356874466,1,0
12,0.3,0.7,BA,1,left,0.342403173447,pink,0.175695180893,0,0
13,0.3,0.7,AA,1,left,0.359643220901,blue,0.176478147507,1,0
14,0.3,0.7,BA,1,left,0.226034879684,pink,0.200209140778,0,0
15,0.3,0.7,BB,0,right,0.359220027924,blue,0.17581486702,1,0
16,0.3,0.7,BB,1,right,0.392678022385,pink,0.0796139240265,0,0
17,0.3,0.7,BA,1,left,0.300022125244,pink,0.206192970276,0,0
18,0.3,0.7,AB,1,left,0.309633970261,pink,0.20054101944,0,0
19,0.3,0.7,AB,0,right,0.254947185516,pink,0.179801940918,0,0
20,0.3,0.7,AA,1,left,0.419581890106,blue,0.066018819809,1,0
21,0.3,0.7,AA,1,left,0.839083909988,blue,0.0599720478058,1,0
22,0.3,0.7,BA,1,left,0.448740005493,pink,0.165990114212,1,0
23,0.3,0.7,AB,1,right,0.349718809128,blue,0.0785381793976,1,0
24,0.3,0.7,AA,1,right,0.306229829788,pink,0.0384571552277,0,0
25,0.3,0.7,BA,1,right,0.364279985428,blue,0.0285019874573,1,0
26,0.3,0.7,AA,1,left,0.0171749591827,blue,0.0247509479523,0,0
27,0.3,0.7,BA,1,right,0.31832408905,blue,0.0253510475159,1,0
28,0.3,0.7,AB,1,left,0.16774392128,pink,0.0153319835663,0,0
29,0.3,0.7,AA,1,left,0.439279794693,blue,0.0358560085297,1,0
30,0.3,0.7,BA,1,right,0.32132101059,blue,0.0275850296021,1,0
31,0.3,0.7,BA,1,right,0.194515943527,blue,0.041974067688,0,0
32,0.3,0.7,AA,0,left,0.230690002441,pink,0.0131230354309,0,0
33,0.3,0.7,BA,1,right,0.307173967361,blue,0.0463471412659,0,0
34,0.3,0.7,BA,1,left,0.411181926727,pink,0.0266399383545,0,0
35,0.3,0.7,BB,0,left,0.36895108223,pink,0.0640439987183,0,0
36,0.3,0.7,AA,1,right,0.2527551651,pink,0.105594158173,0,0
37,0.3,0.7,BA,1,left,0.196758985519,pink,0.0996670722961,1,0
38,0.3,0.7,AA,1,left,0.344089984894,blue,0.0888187885284,1,0
39,0.3,0.7,BA,1,left,0.300392866135,pink,0.0961711406708,1,0
40,0.3,0.7,BB,1,left,0.289993047714,blue,0.0625739097595,0,0
41,0.3,0.7,BB,1,left,0.243607997894,blue,0.0564279556274,0,0
42,0.3,0.7,AA,1,right,0.294348955154,pink,0.0977771282196,0,0
43,0.3,0.7,AA,1,left,0.0520210266113,blue,0.0567090511322,0,0
44,0.3,0.7,AB,1,left,0.302504062653,pink,0.0577580928802,0,0
45,0.3,0.7,AA,1,right,0.159373998642,pink,0.0876681804657,0,0
46,0.3,0.7,AB,1,left,0.24433016777,pink,0.113662004471,1,0
47,0.3,0.7,AA,1,right,0.275403022766,pink,0.0158050060272,1,0
48,0.3,0.7,AA,1,right,0.270967006683,pink,0.0430328845978,1,0
49,0.3,0.7,BB,1,left,0.288437843323,blue,0.0599241256714,0,0
50,0.3,0.7,AB,1,right,0.265069961548,blue,0.0452039241791,1,0
51,0.3,0.7,BA,1,right,0.39314198494,blue,0.0713810920715,1,0
52,0.3,0.7,AA,0,left,0.236855983734,pink,0.050125837326,0,0
53,0.3,0.7,AA,1,left,0.20769405365,blue,0.0546228885651,1,0
54,0.3,0.7,BB,1,left,0.187119007111,blue,0.0668361186981,1,0
55,0.3,0.7,AB,0,right,0.230580091476,pink,0.0615968704224,0,0
56,0.3,0.7,AA,0,left,0.266179084778,pink,0.0865352153778,0,0
57,0.3,0.7,AA,1,left,0.0572128295898,blue,0.0707700252533,1,0
58,0.3,0.7,AB,1,right,0.242905855179,blue,0.0803949832916,1,0
59,0.3,0.7,BA,1,right,0.260332107544,blue,0.0419111251831,1,0
60,0.3,0.7,AB,0,right,0.431293010712,pink,0.0135579109192,1,0
61,0.3,0.7,BA,1,right,0.339224100113,blue,0.117274999619,1,0
62,0.3,0.7,AA,1,left,0.368219137192,blue,0.0880999565125,1,0
63,0.3,0.7,BB,0,left,0.195244073868,pink,0.114234924316,0,0
64,0.3,0.7,AB,1,right,0.340762138367,blue,0.158211946487,1,0
65,0.3,0.7,AA,1,left,0.159282922745,blue,0.128979921341,1,0
66,0.3,0.7,AB,1,right,0.210912942886,blue,0.137744903564,1,0
67,0.3,0.7,BB,1,left,0.25932598114,blue,0.0729532241821,1,0
68,0.3,0.7,BB,0,left,0.212356090546,pink,0.0991909503937,0,0
69,0.3,0.7,AB,1,right,0.294730901718,blue,0.137856006622,0,0
70,0.3,0.7,AB,1,right,0.299250125885,blue,0.1261241436,0,0
71,0.3,0.7,AB,1,right,0.256682157516,blue,0.0864858627319,0,0
72,0.3,0.7,BA,1,right,0.225520849228,blue,0.127894878387,1,0
73,0.3,0.7,BA,1,right,0.210783004761,blue,0.152688980103,1,0
74,0.3,0.7,BB,1,left,0.233574867249,blue,0.0717189311981,1,0
75,0.3,0.7,AA,1,left,0.171808958054,blue,0.108061075211,1,0
76,0.3,0.7,AB,0,right,0.272367954254,pink,0.0845251083374,0,0
