trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.7,0.3,BA,1,right,0.970762014389,blue,1.47550821304,0,0
2,0.7,0.3,BB,0,right,0.580331087112,blue,1.20518994331,0,0
3,0.7,0.3,AA,1,right,0.37168097496,pink,0.979112863541,1,0
4,0.7,0.3,AA,1,right,0.312950134277,pink,0.796378850937,1,0
5,0.7,0.3,AB,1,left,0.344620943069,pink,0.818516016006,1,0
6,0.7,0.3,BB,0,right,0.375607967377,blue,0.864219903946,1,0
7,0.7,0.3,BB,0,left,0.351679086685,pink,0.768738031387,1,0
8,0.7,0.3,BB,1,left,0.353760957718,blue,0.962957143784,0,0
9,0.7,0.3,AA,1,right,0.37424492836,pink,1.18352508545,0,0
10,0.7,0.3,BB,1,right,0.517773866653,pink,0.929200172424,1,0
11,0.7,0.3,AB,1,left,0.341882944107,pink,0.81539607048,0,0
12,0.7,0.3,AB,0,right,0.508851051331,pink,0.759962081909,1,0
13,0.7,0.3,AB,1,right,0.439951896667,blue,0.885151863098,0,0
14,0.7,0.3,AA,1,right,0.477768182755,pink,0.891129016876,1,0
15,0.7,0.3,BA,1,left,0.477550029755,pink,0.825366973877,0,0
16,0.7,0.3,AA,0,right,0.31844997406,blue,0.768893957138,0,0
17,0.7,0.3,AB,1,left,0.387031078339,pink,0.707154989243,1,0
18,0.7,0.3,BB,1,right,0.425790071487,pink,0.712538957596,1,0
19,0.7,0.3,AA,1,right,0.344610929489,pink,0.753542900085,1,0
20,0.7,0.3,BB,1,right,0.398100137711,pink,0.709161996841,0,0
21,0.7,0.3,AA,1,right,0.338109016418,pink,0.652276039124,1,0
22,0.7,0.3,AB,1,left,0.402069091797,pink,0.784867048264,0,0
23,0.7,0.3,BA,1,left,0.373579978943,pink,0.573997020721,0,0
24,0.7,0.3,BA,0,right,0.745548009872,pink,0.80326294899,1,0
25,0.7,0.3,BA,1,right,0.312577009201,blue,0.731290102005,1,0
26,0.7,0.3,BA,0,right,0.306030035019,pink,0.758072137833,1,0
27,0.7,0.3,AB,1,left,0.38743519783,pink,0.844415903091,1,0
28,0.7,0.3,AB,1,left,0.445266008377,pink,0.642928123474,1,0
29,0.7,0.3,BB,1,left,0.30724811554,blue,0.797832965851,0,0
30,0.7,0.3,BA,0,right,0.317384004593,pink,0.632188081741,1,0
31,0.7,0.3,AA,1,left,0.380498886108,blue,0.716235876083,0,0
32,0.7,0.3,AB,1,left,0.486567020416,pink,0.610357999802,0,0
33,0.7,0.3,AA,1,right,0.535175085068,pink,0.674089193344,1,0
34,0.7,0.3,AB,0,right,0.417762994766,pink,0.599385976791,0,0
35,0.7,0.3,BB,1,left,0.0302181243896,blue,0.852075099945,0,0
36,0.7,0.3,BB,1,right,0.325025081635,pink,0.488332033157,1,0
37,0.7,0.3,AB,1,left,0.30233502388,pink,0.546344995499,1,0
38,0.7,0.3,AB,0,left,0.316440105438,blue,0.613955020905,1,0
39,0.7,0.3,AB,1,left,0.327135801315,pink,0.618160009384,0,0
40,0.7,0.3,BA,1,right,0.347722053528,blue,0.644651889801,0,0
41,0.7,0.3,BB,1,left,0.358780145645,blue,0.583732843399,0,0
42,0.7,0.3,AB,1,left,0.320128917694,pink,0.658820867538,1,0
43,0.7,0.3,BB,1,right,0.397361040115,pink,0.708815097809,1,0
44,0.7,0.3,BB,1,right,0.488440990448,pink,0.628561019897,1,0
45,0.7,0.3,BA,1,right,0.295049905777,blue,0.594687223434,0,0
46,0.7,0.3,AB,1,right,0.40239405632,blue,0.505860090256,0,0
